,Lifestyle features,wechat,alibaba,meituan
1,"Messaging, social ",Yes, , 
2,"E-wallet, personal finance <~  ",Yes,Yes, 
3,Ecommerce   ,Yes,Yes,Yes
4,"On-demand deliery (food, fresh produce, grocery)   ",Yes,Yes,Yes
5,Intra-city courier serices   ,Yes,Yes,Yes
6,Public transport e-pass  ,Yes,Yes, 
7,Ride-hailing   ,Yes,Yes,Yes
8,Bike-sharing   ,Yes,Yes,Yes
9,"Trael booking (hotel, flights, train tickets)   ",Yes,Yes,Yes
10,"Utilities bills pay, mobile balance top-up  ",Yes,Yes,
11,Insurance and health serices  ,Yes,Yes,
12,"E-goernment serices (social security, proident funds)  ",Yes,Yes,
